epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1628.94,0.7645,0.4899,0.97944,0.88328,0.7794,0.82885,0.46081,1.55732,0.84686,1.57454,0.000551265,0.000551265,0.000551265
145,1640.3,0.78143,0.49786,0.98005,0.8949,0.77138,0.82934,0.45912,1.56886,0.84184,1.59706,0.000549743,0.000549743,0.000549743
146,1651.56,0.7774,0.48502,0.9768,0.88929,0.74907,0.83056,0.47257,1.52203,0.89992,1.54336,0.00054822,0.00054822,0.00054822
147,1662.71,0.79136,0.50069,0.97923,0.8937,0.75682,0.82749,0.45767,1.54969,0.8723,1.55907,0.000546697,0.000546697,0.000546697
148,1674.33,0.78406,0.51473,0.98135,0.85493,0.79707,0.83594,0.46277,1.55143,0.84858,1.5474,0.000545175,0.000545175,0.000545175
149,1685.48,0.77912,0.50104,0.98488,0.86223,0.76683,0.82369,0.45096,1.57413,0.89706,1.56549,0.000543652,0.000543652,0.000543652
150,1696.74,0.76686,0.49134,0.97603,0.81173,0.78976,0.83115,0.45522,1.54793,0.92215,1.53742,0.00054213,0.00054213,0.00054213
151,1708.02,0.76477,0.48581,0.97094,0.87439,0.78287,0.82768,0.44975,1.57178,0.91093,1.58708,0.000540607,0.000540607,0.000540607
152,1719.14,0.76151,0.49066,0.97401,0.83067,0.79869,0.83596,0.45308,1.56649,0.92184,1.56622,0.000539084,0.000539084,0.000539084
153,1730.29,0.75144,0.48441,0.96916,0.87479,0.77741,0.83696,0.45547,1.54945,0.87281,1.56071,0.000537562,0.000537562,0.000537562
154,1741.24,0.78618,0.49886,0.9813,0.86215,0.78837,0.8481,0.47198,1.5391,0.85182,1.54326,0.000536039,0.000536039,0.000536039
155,1752.29,0.77859,0.48785,0.97695,0.84967,0.75677,0.82575,0.45067,1.54481,0.91431,1.54362,0.000534517,0.000534517,0.000534517
156,1763.19,0.74647,0.48387,0.97216,0.89343,0.78125,0.84121,0.44563,1.58689,0.91692,1.58391,0.000532994,0.000532994,0.000532994
157,1774.15,0.78015,0.49148,0.96908,0.86653,0.77814,0.84303,0.46442,1.52728,0.90065,1.53366,0.000531471,0.000531471,0.000531471
158,1785.08,0.76917,0.49254,0.97599,0.86488,0.77887,0.84189,0.46151,1.54817,0.89154,1.53949,0.000529949,0.000529949,0.000529949
159,1796.04,0.76689,0.48363,0.96921,0.85363,0.78666,0.83619,0.46326,1.52719,0.86152,1.52024,0.000528426,0.000528426,0.000528426
160,1807.06,0.74762,0.47841,0.96964,0.85562,0.76819,0.82713,0.44049,1.60079,0.90773,1.59027,0.000526903,0.000526903,0.000526903
161,1817.98,0.76331,0.48091,0.96859,0.85516,0.76412,0.83211,0.45451,1.57683,0.91051,1.56916,0.000525381,0.000525381,0.000525381
162,1829.01,0.77304,0.50197,0.98172,0.88072,0.76729,0.8295,0.46182,1.53993,0.93185,1.55291,0.000523858,0.000523858,0.000523858
163,1840.06,0.76073,0.4953,0.97962,0.88308,0.75886,0.83106,0.45115,1.56441,0.90655,1.57478,0.000522336,0.000522336,0.000522336
164,1851.04,0.75695,0.47741,0.96786,0.85567,0.76071,0.81667,0.44591,1.57156,0.932,1.56793,0.000520813,0.000520813,0.000520813
165,1862.29,0.75062,0.47057,0.9686,0.85008,0.78099,0.82735,0.46008,1.56255,0.92498,1.55406,0.00051929,0.00051929,0.00051929
166,1873.3,0.73543,0.47082,0.96881,0.88711,0.76386,0.83753,0.44732,1.58483,0.88001,1.58366,0.000517768,0.000517768,0.000517768
167,1884.33,0.76684,0.49178,0.9731,0.84942,0.7808,0.83424,0.45865,1.56627,0.84289,1.57445,0.000516245,0.000516245,0.000516245
168,1895.47,0.75339,0.4771,0.9663,0.84736,0.78144,0.82784,0.45105,1.5743,0.91976,1.57161,0.000514722,0.000514722,0.000514722
169,1906.69,0.75463,0.48126,0.96891,0.83741,0.78327,0.82458,0.44669,1.60607,0.92299,1.60957,0.0005132,0.0005132,0.0005132
170,1917.81,0.73548,0.46677,0.96341,0.90465,0.72928,0.82362,0.44527,1.59309,0.92531,1.62,0.000511677,0.000511677,0.000511677
171,1928.87,0.74837,0.46797,0.96542,0.83682,0.78349,0.82195,0.45722,1.55408,0.93705,1.56227,0.000510155,0.000510155,0.000510155
172,1940.02,0.73565,0.4704,0.96099,0.84939,0.76963,0.82883,0.44831,1.58461,0.89037,1.59153,0.000508632,0.000508632,0.000508632
173,1951.51,0.7651,0.4891,0.97349,0.8738,0.78886,0.83456,0.45022,1.60125,0.87868,1.6074,0.000507109,0.000507109,0.000507109
174,1963.57,0.74974,0.47688,0.96495,0.84938,0.78393,0.83008,0.45215,1.58434,0.92637,1.60587,0.000505587,0.000505587,0.000505587
175,1975.37,0.74096,0.48765,0.97564,0.86022,0.77615,0.82102,0.44629,1.57328,0.93418,1.60118,0.000504064,0.000504064,0.000504064
176,1987,0.73929,0.48734,0.9698,0.87327,0.77596,0.83016,0.45615,1.58155,0.89404,1.60014,0.000502541,0.000502541,0.000502541
177,1998.71,0.75736,0.48253,0.95824,0.83867,0.78574,0.83045,0.45208,1.56491,0.89224,1.55108,0.000501019,0.000501019,0.000501019
178,2009.96,0.75582,0.47712,0.96801,0.8385,0.78958,0.82721,0.45059,1.55722,0.91781,1.55632,0.000499496,0.000499496,0.000499496
179,2021.33,0.7349,0.47565,0.96327,0.87076,0.77592,0.84032,0.45733,1.56049,0.89051,1.57599,0.000497974,0.000497974,0.000497974
180,2032.69,0.73825,0.47355,0.96678,0.89054,0.77674,0.84691,0.46306,1.54313,0.86073,1.55895,0.000496451,0.000496451,0.000496451
181,2043.82,0.74896,0.47333,0.96199,0.85218,0.79835,0.85462,0.46257,1.55753,0.87932,1.56652,0.000494928,0.000494928,0.000494928
